n_caracteristicas,metros,quartos,banheiros,vagas,descricao,endereco,y
9,70,2,1,1,1,JARDIM SOLANGE,1600.0
4,42,2,1,1,0,NUCLEO RESIDENCIAL PRESIDENTE GEISEL,800.0
5,40,1,1,1,37,CENTRO,800.0
4,370,3,2,2,0,RESIDENCIAL VILLAGGIO,5000.0
4,57,2,1,1,0,JARDIM ESTRELA D'ALVA,800.0
4,47,2,1,1,0,PARQUE,800.0
4,70,2,2,2,0,JARDIM INFANTE DOM HENRIQUE,2000.0
8,55,2,1,1,22,JARDIM PANORAMA,950.0
7,45,2,1,1,20,VILA SOUTO,850.0
4,50,3,2,1,0,PARQUE RESIDENCIAL DAS CAMELIAS,850.0
4,35,1,1,1,0,JARDIM NASRALLA,1000.0
4,58,2,1,1,0,JARDIM INFANTE DOM HENRIQUE,1800.0
9,53,3,1,1,11,JARDIM AURI VERDE,1000.0
9,60,1,2,1,30,VILA CIDADE UNIVERSITARIA,2000.0
4,150,1,2,-1,0,VILA BONFIM,900.0
9,98,3,2,2,31,JARDIM INFANTE DOM HENRIQUE,1400.0
9,38,1,1,1,20,VILA CIDADE UNIVERSITARIA,850.0
9,94,3,2,2,26,VILA AVIACAO,1800.0
4,36,1,1,1,0,VILA NOVA CIDADE UNIVERSITARIA,550.0
4,60,2,1,-1,0,VILA SAO JOAO DA BOA VISTA,880.0
5,197,3,5,-1,1,VILA AVIACAO,4500.0
4,365,4,3,4,0,RESIDENCIAL TIVOLI II,5500.0
4,67,2,2,2,0,CENTRO,1200.0
4,70,2,2,1,0,VILA NOVA CIDADE UNIVERSITARIA,1750.0
7,76,3,2,2,21,JARDIM ESTORIL,2000.0
4,50,2,1,1,0,JARDIM TERRA BRANCA,700.0
4,90,3,2,-1,0,VILA AVIACAO,3000.0
9,308,3,5,-1,34,JARDIM ESTORIL,5000.0
4,55,2,1,1,0,JARDIM SAMBURA,650.0
4,35,1,1,1,0,VILA SANTA TEREZA,900.0
9,75,2,2,2,23,VILA AVIACAO,2000.0
5,35,1,1,-1,14,CONJUNTO HABITACIONAL ISAURA PITTA GARMS,450.0
4,47,2,1,1,0,PARQUE SAO JOAO,650.0
9,480,3,2,3,49,CENTRO,3500.0
9,37,1,1,1,10,JARDIM AEROPORTO,750.0
4,230,3,5,3,0,RESIDENCIAL VILLAGGIO II,6000.0
4,92,2,1,-1,0,CENTRO,900.0
4,41,1,1,1,0,JARDIM PAULISTA,820.0
9,60,2,1,1,57,JARDIM INFANTE DOM HENRIQUE,1550.0
4,90,3,2,1,0,VILA SILVA PINTO,1400.0
9,60,2,1,1,56,JARDIM INFANTE DOM HENRIQUE,1650.0
4,45,1,1,1,0,JARDIM COLONIAL,710.0
9,615,4,6,3,36,JARDIM ESTORIL IV,12000.0
9,360,3,1,2,14,QUINTA RANIERI,3900.0
4,52,2,1,1,0,JARDIM BRASIL,800.0
4,197,4,5,3,0,JARDIM AMERICA,4000.0
4,484,4,5,4,0,VILA ENGLER,3000.0
4,49,1,1,1,0,VILA NOVA CIDADE UNIVERSITARIA,550.0
9,40,1,1,1,21,JARDIM PANORAMA,600.0
9,95,3,3,-1,33,CENTRO,1300.0
4,45,1,1,1,0,ALAMEDA DOUTOR OCTAVIO PINHEIRO BRISOLLA  VILA SANTA TEREZA,850.0
8,75,4,2,2,33,VILA LEME DA SILVA,750.0
8,44,1,1,1,103,JARDIM BRASIL,850.0
5,78,3,2,2,1,INFANTE DOM HENRIQUE,1500.0
4,470,4,7,10,0,VILA SANTA TEREZA,9000.0
4,276,3,2,-1,0,CENTRO,2500.0
4,330,4,3,2,0,CHACARA DAS FLORES,3000.0
4,35,1,1,1,0,VILA ALTINOPOLIS,800.0
4,90,3,2,2,0,VILA SANTO ANTONIO,900.0
4,31,1,1,-1,0,VILA NOVA CIDADE UNIVERSITARIA,1100.0
8,150,5,3,2,21,VILA NOEMY,3200.0
9,125,3,5,3,51,VILA AVIACAO,4000.0
9,65,2,1,-1,16,JARDIM PANORAMA,1000.0
5,300,3,2,-1,1,VILA AVIACAO,6500.0
8,35,1,1,1,34,VILA CIDADE UNIVERSITARIA,750.0
9,86,3,2,1,48,JARDIM PANORAMA,1900.0
4,300,3,3,-1,0,VILA CIDADE UNIVERSITARIA,2200.0
4,87,3,2,2,0,JARDIM INFANTE DOM HENRIQUE,1200.0
9,45,2,1,1,1,PARQUE UNIAO,900.0
4,42,2,1,1,0,PARQUE DAS NACOES,850.0
